YEAR,MURDER,RAPE,BURGLARY,HURT,location,latitude,longitude
2001,22,13,323,325,"VISAKHAPATNAM, ANDHRA PRADESH",17.723128,83.301284
2001,33,8,99,529,"VIZIANAGARAM, ANDHRA PRADESH",18.1152,83.3982
2001,158,53,266,1718,"WARANGAL, ANDHRA PRADESH",17.24083,78.48053
2001,77,61,257,972,"WEST GODAVARI, ANDHRA PRADESH",16.42966,81.67985
2001,11,1,18,30,"CHANGLANG, ARUNACHAL PRADESH",27.1351,95.73269
2001,3,2,18,27,"DIBANG VALLEY, ARUNACHAL PRADESH",28.7,95.7
2001,3,2,8,36,"KAMENG EAST, ARUNACHAL PRADESH",27.296587,92.804626
2001,4,0,6,27,"KAMENG WEST, ARUNACHAL PRADESH",27.296587,92.804626
2001,16,2,20,40,"LOHIT, ARUNACHAL PRADESH",27.86853,96.02421
2001,11,9,59,84,"PAPUM PARE, ARUNACHAL PRADESH",27.284315,93.61156
2001,7,5,25,58,"SIANG EAST, ARUNACHAL PRADESH",28.00715,95.15934
2001,1,2,5,15,"SIANG UPPER, ARUNACHAL PRADESH",28.720025,95.07183
2001,5,4,34,71,"SIANG WEST, ARUNACHAL PRADESH",28.066207,95.328081
2001,8,2,17,11,"SUBANSIRI LOWER, ARUNACHAL PRADESH",27.729984,94.327964
2001,4,2,17,34,"SUBANSIRI UPPER, ARUNACHAL PRADESH",27.643989,94.240939
2001,2,1,3,3,"TAWANG, ARUNACHAL PRADESH",27.57086,91.78889
2001,8,1,18,30,"TIRAP, ARUNACHAL PRADESH",26.961625,95.432609
2001,64,28,93,266,"BARPETA, ASSAM",26.18327,91.69619
2001,45,20,87,67,"BONGAIGAON, ASSAM",26.41375,90.58664
2001,0,0,0,0,"C.I.D., ASSAM",-21.74108,-48.18897
2001,52,45,189,286,"CACHAR, ASSAM",24.756991,92.881511
2001,61,48,111,319,"DARRANG, ASSAM",26.56356,92.067533
2001,15,42,26,203,"DHEMAJI, ASSAM",27.4823,94.5684
2001,65,43,79,193,"DHUBRI, ASSAM",26.0227,89.9784
2001,110,35,114,351,"DIBRUGARH, ASSAM",27.47807,94.90115
2001,13,1,11,35,"G.R.P., ASSAM",44.516527,-64.548099
2001,28,35,61,51,"GOALPARA, ASSAM",26.1641,90.625
2001,53,30,95,135,"GOLAGHAT, ASSAM",26.5094,93.9621
2001,71,37,227,913,"GUWAHATI CITY, ASSAM",26.16422,91.71563
2001,18,24,93,60,"HAILAKANDI, ASSAM",24.67846,92.73034
2001,40,42,43,134,"JORHAT, ASSAM",26.757793,94.207965
2001,37,21,196,404,"KAMRUP, ASSAM",26.16422,91.71563
2001,65,5,13,66,"KARBI ANGLONG, ASSAM",25.8602,92.589638
2001,32,33,57,68,"KARIMGANJ, ASSAM",24.7592,92.50924
2001,87,14,42,156,"KOKRAJHAR, ASSAM",26.39701,90.26366
2001,26,64,124,386,"LAKHIMPUR, ASSAM",27.25207,94.0832
2001,20,23,84,31,"MORIGAON, ASSAM",26.25337,92.3549
2001,17,2,17,22,"N.C.HILLS, ASSAM",26.62007,92.78014
2001,95,51,288,513,"NAGAON, ASSAM",26.3026,92.68086
2001,79,30,96,172,"NALBARI, ASSAM",26.4458,91.4384
2001,11,3,1,0,"R.P.O., ASSAM",51.51535,-0.06834
2001,59,47,1,286,"SIBSAGAR, ASSAM",26.9893,94.6397
2001,86,53,175,451,"SONITPUR, ASSAM",26.765603,92.996861
2001,107,41,100,237,"TINSUKIA, ASSAM",27.8143,95.64419
2001,47,93,80,10,"ARARIA, BIHAR",26.11624,87.46921
2001,37,0,20,209,"ARWAL, BIHAR",25.24374,84.663
2001,74,16,137,25,"AURANGABAD, BIHAR",24.75486,84.37759
2001,34,25,7,343,"BAGAHA, BIHAR",26.8063,84.50465
2001,93,34,51,8,"BANKA, BIHAR",24.91797,86.89891
2001,124,13,76,65,"BEGUSARAI, BIHAR",25.42721,86.13237
2001,66,20,93,842,"BETTIAH, BIHAR",27.06268,84.36026
2001,41,10,96,92,"BHABHUA, BIHAR",25.0397,83.6123
2001,128,35,127,9,"BHAGALPUR, BIHAR",25.2499,86.982
2001,135,22,114,515,"BHOJPUR, BIHAR",25.457898,84.555732
2001,56,8,76,39,"BUXAR, BIHAR",25.55433,83.96799
2001,53,19,65,0,"DARBHANGA, BIHAR",26.15627,85.89411
2001,200,25,149,292,"GAYA, BIHAR",24.85124,85.4713
2001,107,13,81,42,"GOPALGANJ, BIHAR",26.79477,84.50827
2001,7,1,1,0,"JAMALPUR RLY., BIHAR",25.35013,86.4844
2001,67,10,40,225,"JAMUI, BIHAR",25.16355,86.09713
2001,73,6,53,0,"JEHANABAD, BIHAR",25.22217,84.98561
2001,60,51,49,64,"KATIHAR, BIHAR",25.543382,87.569042
2001,7,0,12,0,"KATIHAR RLY., BIHAR",25.57002,87.55649
2001,72,5,17,5,"KHAGARIA, BIHAR",25.70013,85.88939
2001,25,22,34,4,"KISHANGANJ, BIHAR",26.101419,87.950779
2001,61,10,25,9,"LAKHISARAI, BIHAR",25.10886,85.78938
2001,56,11,13,4,"MADHEPURA, BIHAR",25.9193,86.7903
2001,35,13,86,615,"MADHUBANI, BIHAR",26.35696,86.07614
2001,114,44,105,112,"MOTIHARI, BIHAR",26.65854,84.91605
2001,51,11,57,173,"MUNGER, BIHAR",25.377352,86.473104
2001,153,73,118,103,"MUZAFFARPUR, BIHAR",26.11604,85.35055
2001,13,2,8,53,"MUZAFFARPUR RLY., BIHAR",26.11604,85.35055
2001,208,40,92,611,"NALANDA, BIHAR",25.1965,85.50982
2001,36,7,7,52,"NAUGACHIA, BIHAR",25.25896,87.02431
2001,77,15,37,282,"NAWADAH, BIHAR",24.62953,85.91042
2001,434,27,426,354,"PATNA, BIHAR",25.22255,85.50275
2001,24,1,4,0,"PATNA RLY., BIHAR",25.22255,85.50275
2001,104,39,100,35,"PURNEA, BIHAR",25.778519,87.478401
2001,127,25,144,472,"ROHTAS, BIHAR",24.62442,83.9179
2001,36,12,24,229,"SAHARSA, BIHAR",25.87445,86.61204
2001,107,19,94,255,"SAMASTIPUR, BIHAR",25.8598,85.7866
2001,137,20,96,878,"SARAN, BIHAR",25.92175,84.76795
2001,28,3,15,6,"SHEIKHPURA, BIHAR",25.1339,85.8554
2001,18,11,5,0,"SHEOHAR, BIHAR",26.46444,85.1722
2001,51,23,47,29,"SITAMARHI, BIHAR",26.33243,85.36077
2001,116,4,77,47,"SIWAN, BIHAR",26.23828,84.3581
2001,41,30,49,0,"SUPAUL, BIHAR",26.1131,86.5931
2001,110,20,226,436,"VAISHALI, BIHAR",25.93782,85.1459
2001,13,17,26,30,"BALRAMPUR, CHHATTISGARH",23.61169,83.60992
2001,99,69,551,617,"BILASPUR, CHHATTISGARH",23.16533,82.35541
2001,9,4,9,11,"BIZAPUR, CHHATTISGARH",21.26685,82.04127
2001,83,19,59,116,"DANTEWARA, CHHATTISGARH",21.26685,82.04127
2001,14,22,125,127,"DHAMTARI, CHHATTISGARH",20.7342,81.53572
2001,76,144,593,595,"DURG, CHHATTISGARH",21.18562,81.2802
2001,2,0,8,8,"GRP RAIPUR, CHHATTISGARH",30.548248,-92.086016
2001,80,59,146,216,"JAGDALPUR, CHHATTISGARH",19.087076,82.023572
2001,48,29,193,556,"JANJGIR, CHHATTISGARH",22.01147,82.5755
2001,37,36,88,98,"JASHPUR, CHHATTISGARH",22.8773,84.1372
2001,31,42,67,76,"KANKER, CHHATTISGARH",20.269275,81.493211
2001,19,35,69,167,"KAWARDHA, CHHATTISGARH",21.60809,81.06121
2001,33,46,221,515,"KORBA, CHHATTISGARH",22.18605,82.7209
2001,35,34,228,163,"KORIYA, CHHATTISGARH",23.1801,82.37453
2001,18,43,108,174,"MAHASAMUND, CHHATTISGARH",21.04237,81.97453
2001,50,53,212,277,"RAIGARH, CHHATTISGARH",21.9841,83.12652
2001,92,104,793,1259,"RAIPUR, CHHATTISGARH",21.237947,81.633683
2001,36,58,289,142,"RAJNANDGAON, CHHATTISGARH",21.03291,80.92674
2001,105,145,359,330,"SARGUJA, CHHATTISGARH",12.91634,79.13913
2001,22,4,189,93,"NORTH GOA, GOA",15.47378,73.87071
2001,14,8,170,81,"SOUTH GOA, GOA",32.5622,-111.70161
2001,90,39,695,1311,"AHMEDABAD COMMR., GUJARAT",,
2001,26,5,122,482,"AHMEDABAD RURAL, GUJARAT",23.021624,72.579707
2001,6,1,6,32,"AHWA-DANG, GUJARAT",22.99174,72.58156
2001,41,2,127,363,"AMRELI, GUJARAT",22.37381,73.044198
2001,28,3,195,596,"ANAND, GUJARAT",22.5632,72.96028
2001,37,4,150,385,"BHARUCH, GUJARAT",21.72358,72.99519
2001,64,9,203,100,"BHAVNAGAR, GUJARAT",23.02643,72.64431
2001,36,5,76,394,"DAHOD, GUJARAT",22.77369,73.62658
2001,25,4,182,430,"GANDHINAGAR, GUJARAT",23.223288,72.649227
2001,55,17,204,357,"HIMATNAGAR, GUJARAT",23.5584,72.7574
2001,48,20,204,418,"JAMNAGAR, GUJARAT",23.0969,70.7757
2001,56,14,252,541,"JUNAGADH, GUJARAT",21.517411,70.464276
2001,42,11,159,472,"KHEDA NORTH, GUJARAT",20.795759,70.704545
2001,34,2,133,467,"KUTCH, GUJARAT",24.07665,69.53948
2001,28,4,195,1206,"MEHSANA, GUJARAT",23.61337,72.34188
2001,16,8,14,96,"NARMADA, GUJARAT",23.01255,72.51042
2001,26,2,98,144,"NAVSARI, GUJARAT",20.952407,72.932383
2001,52,18,212,1370,"PALANPUR, GUJARAT",21.20922,72.78151
2001,56,5,147,530,"PANCHMAHAL, GUJARAT",50.063455,-110.651764
2001,24,3,76,422,"PATAN, GUJARAT",23.80587,72.13926
2001,15,6,44,136,"PORBANDAR, GUJARAT",21.89171,70.71941
2001,29,5,306,628,"RAJKOT COMMR., GUJARAT",37.208568,-121.849521
2001,30,20,198,616,"RAJKOT RURAL, GUJARAT",21.66449,69.79543
2001,98,11,353,353,"SURAT COMMR., GUJARAT",43.760801,-79.249577
2001,62,26,100,315,"SURAT RURAL, GUJARAT",22.138304,70.983469
2001,38,11,103,522,"SURENDRANAGAR, GUJARAT",22.73522,71.63791
2001,34,3,244,365,"VADODARA COMMR., GUJARAT",37.330009,-79.251918
2001,71,18,67,354,"VADODARA RURAL, GUJARAT",22.27444,73.22534
2001,44,9,246,301,"VALSAD, GUJARAT",20.57073,72.94118
2001,15,1,31,54,"W.RLY, GUJARAT",20.35572,72.93135
2001,26,11,316,280,"AMBALA, HARYANA",30.33711,76.83256
2001,40,10,132,267,"BHIWANI, HARYANA",28.80841,76.1102
2001,68,37,236,304,"FARIDABAD, HARYANA",28.402837,77.308563
2001,18,17,96,210,"FATEHABAD, HARYANA",29.510431,75.453528
2001,24,0,1,11,"GRP, HARYANA",-28.04103,-48.65421
2001,69,32,294,244,"GURGAON, HARYANA",28.464615,77.029919
2001,45,10,244,392,"HISSAR, HARYANA",28.9052,76.51804
2001,48,21,98,193,"JHAJJAR, HARYANA",28.606683,76.658076
2001,37,21,151,160,"JIND, HARYANA",29.314043,76.317949
2001,33,16,103,216,"KAITHAL, HARYANA",29.62069,76.45243
2001,42,44,208,726,"KARNAL, HARYANA",29.68596,76.95745
2001,20,31,132,172,"KURUKSHETRA, HARYANA",29.93554,76.92992
2001,26,11,59,157,"MAHENDRAGARH, HARYANA",28.58534,76.25632
2001,12,6,118,21,"PANCHKULA, HARYANA",30.67306,76.83847
2001,43,38,182,144,"PANIPAT, HARYANA",29.391275,76.977168
2001,21,11,86,130,"REWARI, HARYANA",28.195647,76.616518
2001,57,28,229,187,"ROHTAK, HARYANA",28.9786,77.0132
2001,37,17,194,349,"SIRSA, HARYANA",29.54165,75.04956
2001,73,15,130,346,"SONIPAT, HARYANA",29.003314,77.016732
2001,42,22,100,235,"YAMUNANAGAR, HARYANA",30.123135,77.286329
2001,8,5,50,74,"BILASPUR, HIMACHAL PRADESH",31.28217,76.78912
2001,13,12,92,63,"CHAMBA, HIMACHAL PRADESH",32.5566,76.1247
2001,1,0,0,0,"G.R.P., HIMACHAL PRADESH",17.68697,83.22075
2001,2,3,29,178,"HAMIRPUR, HIMACHAL PRADESH",31.6864,76.5214
2001,24,18,146,280,"KANGRA, HIMACHAL PRADESH",31.10165,77.14294
2001,5,6,24,4,"KINNAUR, HIMACHAL PRADESH",31.586346,78.396844
2001,13,13,50,36,"KULLU, HIMACHAL PRADESH",31.9128,77.1743
2001,1,2,5,1,"LAHAUL-SPITI, HIMACHAL PRADESH",17.68697,83.22075
2001,18,16,107,218,"MANDI, HIMACHAL PRADESH",31.70845,76.929378
2001,14,18,170,89,"SHIMLA, HIMACHAL PRADESH",31.104153,77.170973
2001,3,10,37,60,"SIRMAUR, HIMACHAL PRADESH",30.69987,77.438847
2001,11,12,77,279,"SOLAN, HIMACHAL PRADESH",30.907757,77.102365
2001,6,9,57,121,"UNA, HIMACHAL PRADESH",31.45167,76.31124
2001,74,6,126,20,"ANANTNAG, JAMMU & KASHMIR",33.72979,75.15033
2001,25,1,21,2,"AWANTIPORA, JAMMU & KASHMIR",33.81765,75.05898
2001,144,28,114,18,"BARAMULLA, JAMMU & KASHMIR",34.08793,74.51546
2001,6,12,24,14,"BORDER, JAMMU & KASHMIR",32.71767,74.87053
2001,78,7,65,0,"BUDGAM, JAMMU & KASHMIR",34.01466,74.7193
2001,0,0,0,0,"CRIME JAMMU, JAMMU & KASHMIR",32.71767,74.87053
2001,0,0,0,0,"CRIME SRINAGAR, JAMMU & KASHMIR",34.08401,74.83829
2001,104,7,19,13,"DODA, JAMMU & KASHMIR",33.01381,75.68393
2001,24,5,28,6,"GANDERBAL, JAMMU & KASHMIR",34.14528,74.80224
2001,27,13,238,58,"JAMMU, JAMMU & KASHMIR",32.71767,74.87053
2001,0,0,2,1,"KARGIL, JAMMU & KASHMIR",32.71767,74.87053
2001,16,13,50,28,"KATHUA, JAMMU & KASHMIR",32.381,75.5491
2001,39,6,36,9,"KULGAM, JAMMU & KASHMIR",33.6468,75.007
2001,141,6,36,18,"KUPWARA, JAMMU & KASHMIR",34.5246,74.2596
2001,3,0,7,0,"LEH, JAMMU & KASHMIR",32.71767,74.87053
2001,100,13,13,27,"POONCH, JAMMU & KASHMIR",32.75263,74.81375
2001,46,7,66,9,"PULWAMA, JAMMU & KASHMIR",33.95303,74.87105
2001,1,0,1,0,"RAILWAYS, JAMMU & KASHMIR",32.70731,74.87593
2001,76,17,28,34,"RAJOURI, JAMMU & KASHMIR",33.3979,74.26117
2001,51,3,11,19,"RAMBAN, JAMMU & KASHMIR",33.2395,75.2396
2001,36,7,8,3,"REASI, JAMMU & KASHMIR",33.04493,74.60604
2001,63,8,382,18,"SRINAGAR, JAMMU & KASHMIR",34.08401,74.83829
2001,21,10,70,21,"UDHAMPUR, JAMMU & KASHMIR",32.74883,75.14458
2001,70,26,108,74,"BOKARO, JHARKHAND",23.6524,86.13459
2001,109,32,38,35,"CHAIBASA, JHARKHAND",22.55063,85.81048
2001,40,6,30,0,"CHATRA, JHARKHAND",23.98235,85.35062
2001,47,22,66,259,"DEOGHAR, JHARKHAND",24.491271,86.698147
2001,97,32,203,318,"DHANBAD, JHARKHAND",23.67868,86.20914
2001,11,2,9,0,"DHANBAD RLY., JHARKHAND",23.67868,86.20914
2001,63,27,48,263,"DUMKA, JHARKHAND",24.04289,86.87989
2001,32,11,32,125,"GARHWA, JHARKHAND",24.04617,84.05857
2001,63,42,116,38,"GIRIDIH, JHARKHAND",24.20815,86.26556
2001,61,37,66,0,"GODDA, JHARKHAND",24.77659,87.47111
2001,136,29,31,0,"GUMLA, JHARKHAND",23.04506,84.5416
2001,76,41,150,479,"HAZARIBAGH, JHARKHAND",23.98903,85.36254
2001,81,50,134,76,"JAMSHEDPUR, JHARKHAND",22.801519,86.202958
2001,4,1,3,0,"JAMSHEDPUR RLY., JHARKHAND",22.801519,86.202958
2001,22,18,21,146,"JAMTARA, JHARKHAND",23.9905,86.81396
2001,21,2,27,18,"KODERMA, JHARKHAND",26.91391,75.75534
2001,54,12,13,0,"LATEHAR, JHARKHAND",23.7448,84.5076
2001,33,12,14,11,"LOHARDAGGA, JHARKHAND",26.91391,75.75534
2001,31,23,13,5,"PAKUR, JHARKHAND",24.282,87.26711
2001,73,15,71,343,"PALAMU, JHARKHAND",23.981377,84.227788
2001,243,73,2,21,"RANCHI, JHARKHAND",23.3345,85.40379
2001,47,20,25,42,"SAHEBGANJ, JHARKHAND",25.2412,87.6345
2001,44,17,43,0,"SARAIKELA, JHARKHAND",22.7021,85.9307
2001,49,17,3,1,"SIMDEGA, JHARKHAND",22.6127,84.5015
2001,59,2,47,315,"BAGALKOT, KARNATAKA",16.75497,75.72142
2001,221,40,2108,3735,"BANGALORE COMMR., KARNATAKA",35.087358,-89.862167
2001,137,13,405,1097,"BANGALORE RURAL, KARNATAKA",13.08795,77.37575
2001,120,8,212,1002,"BELGAUM, KARNATAKA",15.857267,74.506934
2001,58,16,179,709,"BELLARY, KARNATAKA",13.166557,75.863406
2001,48,7,154,1015,"BIDAR, KARNATAKA",17.914259,77.524533
2001,51,6,108,695,"BIJAPUR, KARNATAKA",16.826925,75.720105
2001,19,4,72,480,"CHAMARAJNAGAR, KARNATAKA",43.828807,-84.340275
2001,41,8,148,885,"CHICKMAGALUR, KARNATAKA",16.54006,80.64006
2001,31,18,115,717,"CHITRADURGA, KARNATAKA",14.226644,76.400512
2001,33,3,214,411,"DAKSHIN KANNADA, KARNATAKA",12.3339,76.61837
2001,58,22,246,684,"DAVANAGERE, KARNATAKA",14.466127,75.920636
2001,16,4,159,191,"DHARWAD COMMR., KARNATAKA",41.293592,-86.332376
2001,25,3,30,132,"DHARWAD RURAL, KARNATAKA",15.45849,75.00747
2001,22,2,55,165,"GADAG, KARNATAKA",15.426365,75.630079
2001,95,20,246,1148,"GULBARGA, KARNATAKA",17.331,76.833423
2001,64,20,162,1483,"HASSAN, KARNATAKA",12.98865,76.07087
2001,24,3,85,393,"HAVERI, KARNATAKA",13.153911,77.033384
2001,20,1,94,256,"K.G.F., KARNATAKA",12.444943,75.975705
2001,26,4,105,350,"KODAGU, KARNATAKA",12.381173,75.667724
2001,69,17,156,664,"KOLAR, KARNATAKA",13.13709,78.133947
2001,23,6,71,279,"KOPPAL, KARNATAKA",15.348414,76.154742
2001,67,15,195,1431,"MANDYA, KARNATAKA",12.521784,76.893739
2001,32,2,109,360,"MYSORE COMMR., KARNATAKA",41.293592,-86.332376
2001,53,12,167,1081,"MYSORE RURAL, KARNATAKA",12.55306,77.40617
2001,33,12,137,602,"RAICHUR, KARNATAKA",16.202495,77.356854
2001,12,1,9,17,"RAILWAYS, KARNATAKA",12.99262,77.93656
2001,56,12,206,1148,"SHIMOGA, KARNATAKA",13.931172,75.569737
2001,80,6,237,1099,"TUMKUR, KARNATAKA",13.340077,77.100621
2001,16,2,93,304,"UDUPI, KARNATAKA",13.341917,74.747323
2001,17,4,70,437,"UTTAR KANNADA, KARNATAKA",12.82226,75.225601
2001,22,21,227,1373,"ALAPUZHA, KERALA",29.593979,-95.541206
2001,22,2,5,5,"CBCID, KERALA",11.60271,79.49443
2001,44,38,592,1756,"ERNAKULAM, KERALA",10.59179,76.46762
2001,33,34,240,1726,"IDUKKI, KERALA",10.03493,76.80717
2001,26,42,277,1175,"KANNUR, KERALA",11.127134,75.8954
2001,18,28,132,627,"KASARGOD, KERALA",12.53505,74.99952
2001,41,55,334,2398,"KOLLAM, KERALA",8.887094,76.590684
2001,34,22,319,1763,"KOTTAYAM, KERALA",9.3593,76.69543
2001,34,39,448,1035,"KOZHIKODE, KERALA",11.244614,75.775937
2001,23,71,288,1119,"MALAPPURAM, KERALA",11.287066,75.80093
2001,45,63,342,1629,"PALAKKAD, KERALA",10.61926,76.69627
2001,20,12,144,970,"PATHANAMTHITTA, KERALA",9.22408,76.69595
2001,0,1,1,9,"RAILWAYS, KERALA",9.17808,76.50831
2001,42,42,406,1329,"THRISSUR, KERALA",10.52519,76.215983
2001,53,57,597,2436,"TRIVANDRUM, KERALA",8.505749,76.957356
2001,15,35,122,479,"WAYANADU, KERALA",11.67729,75.77969
2001,56,87,229,568,"BALAGHAT, MADHYA PRADESH",21.86206,80.27175
2001,41,34,130,795,"BARWANI, MADHYA PRADESH",22.05156,75.12243
2001,56,95,199,521,"BETUL, MADHYA PRADESH",21.86954,77.83146
2001,63,31,223,851,"BHIND, MADHYA PRADESH",26.3089,78.25996
2001,61,106,852,652,"BHOPAL, MADHYA PRADESH",23.260663,77.39406
2001,5,1,10,1,"BHOPAL RLY., MADHYA PRADESH",23.260663,77.39406
2001,54,65,240,445,"CHHATARPUR, MADHYA PRADESH",24.90396,79.58608
2001,78,93,165,1085,"CHHINDWARA, MADHYA PRADESH",22.057824,78.93862
2001,43,66,114,1042,"DAMOH, MADHYA PRADESH",23.81099,79.42308
2001,53,12,87,424,"DATIYA, MADHYA PRADESH",26.16574,78.32567
2001,50,78,367,508,"DEWAS, MADHYA PRADESH",23.16073,75.79181
2001,89,68,285,635,"DHAR, MADHYA PRADESH",22.60429,75.27961
2001,13,20,52,119,"DINDORI, MADHYA PRADESH",22.93047,81.07184
2001,71,124,448,1602,"GUNA, MADHYA PRADESH",24.64798,77.3225
2001,84,59,939,1084,"GWALIOR, MADHYA PRADESH",26.16574,78.32567
2001,14,28,43,109,"HARDA, MADHYA PRADESH",22.33602,77.09053
2001,53,65,253,479,"HOSHANGABAD, MADHYA PRADESH",22.75011,77.7188
2001,111,84,874,1306,"INDORE, MADHYA PRADESH",22.68452,75.92529
2001,6,2,3,14,"INDORE RLY., MADHYA PRADESH",23.814342,77.534072
2001,103,108,596,2024,"JABALPUR, MADHYA PRADESH",23.160938,79.949717
2001,3,0,0,14,"JABALPUR RLY., MADHYA PRADESH",23.16087,79.93357
2001,124,44,163,634,"JHABUA, MADHYA PRADESH",22.91286,74.72882
2001,51,25,168,816,"KATNI, MADHYA PRADESH",23.84687,80.37937
2001,41,63,311,84,"KHANDWA, MADHYA PRADESH",22.677,75.87817
2001,47,47,171,540,"KHARGON, MADHYA PRADESH",21.9863,75.86772
2001,35,64,190,444,"MANDLA, MADHYA PRADESH",22.5337,80.3032
2001,28,41,197,345,"MANDSAUR, MADHYA PRADESH",24.04632,75.15386
2001,63,35,381,929,"MORENA, MADHYA PRADESH",26.63145,78.28386
2001,38,70,121,832,"NARSINGHPUR, MADHYA PRADESH",22.08492,78.97069
2001,17,37,203,391,"NEEMUCH, MADHYA PRADESH",24.46263,74.87891
2001,24,44,145,62,"PANNA, MADHYA PRADESH",24.51587,80.07885
2001,39,79,116,460,"RAISEN, MADHYA PRADESH",23.24999,77.46698
2001,42,95,135,538,"RAJGARH, MADHYA PRADESH",22.2781,74.77955
2001,58,70,233,448,"RATLAM, MADHYA PRADESH",23.331541,75.036658
2001,53,31,706,445,"REWA, MADHYA PRADESH",24.54379,81.30127
2001,84,141,473,2669,"SAGAR, MADHYA PRADESH",23.8477,78.7433
2001,49,58,588,822,"SATNA, MADHYA PRADESH",24.575131,80.832572
2001,40,52,122,344,"SEONI, MADHYA PRADESH",22.05176,79.47174
2001,57,63,464,433,"SHAHDOL, MADHYA PRADESH",23.300234,81.364771
2001,42,90,273,744,"SHAJAPUR, MADHYA PRADESH",23.43728,76.27
2001,24,21,54,321,"SHEOPUR, MADHYA PRADESH",25.55117,76.64634
2001,88,72,272,792,"SHIVPURI, MADHYA PRADESH",25.423526,77.655142
2001,36,42,315,561,"SIDHI, MADHYA PRADESH",24.52874,81.30708
2001,35,59,355,331,"SIHORE, MADHYA PRADESH",23.814342,77.534072
2001,53,86,154,878,"TIKAMGARH, MADHYA PRADESH",24.78532,78.94971
2001,84,59,826,744,"UJJAIN, MADHYA PRADESH",23.174597,75.785142
2001,19,25,130,130,"UMARIYA, MADHYA PRADESH",23.54732,80.828
2001,47,112,174,880,"VIDISHA, MADHYA PRADESH",23.55304,77.82402
2001,97,44,312,575,"AHMEDNAGAR, MAHARASHTRA",18.58224,73.9845
2001,64,15,298,836,"AKOLA, MAHARASHTRA",20.68362,77.01389
2001,44,23,259,429,"AMRAVATI COMMR., MAHARASHTRA",21.14502,78.98121
2001,72,42,359,884,"AMRAVATI RURAL, MAHARASHTRA",20.92972,77.75813
2001,36,14,239,371,"AURANGABAD COMMR., MAHARASHTRA",19.873954,75.32778
2001,61,28,193,780,"AURANGABAD RURAL, MAHARASHTRA",19.873954,75.32778
2001,68,22,264,1012,"BEED, MAHARASHTRA",21.387981,75.109728
2001,32,39,195,392,"BHANDARA, MAHARASHTRA",21.19154,79.66253
2001,49,22,227,753,"BULDHANA, MAHARASHTRA",20.08368,76.45392
2001,49,43,253,538,"CHANDRAPUR, MAHARASHTRA",19.95982,79.29556
2001,48,16,96,338,"DHULE, MAHARASHTRA",20.898,74.7732
2001,47,27,127,246,"GADCHIROLI, MAHARASHTRA",20.18842,79.9995
2001,41,23,238,328,"GONDIA, MAHARASHTRA",21.455228,80.196273
2001,36,20,119,471,"HINGOLI, MAHARASHTRA",19.1962,77.34135
2001,83,19,238,721,"JALGAON, MAHARASHTRA",20.996845,75.56838
2001,43,16,209,675,"JALNA, MAHARASHTRA",19.840916,75.882487
2001,54,26,299,516,"KOLHAPUR, MAHARASHTRA",16.704979,74.236016
2001,42,7,157,992,"LATUR, MAHARASHTRA",18.398339,76.562087
2001,295,127,2863,3845,"MUMBAI, MAHARASHTRA",18.95238,72.832711
2001,12,2,3,30,"MUMBAI RLY., MAHARASHTRA",19.22153,72.86858
